sensor-id,temp [¡C],revC_raw_tmp,revC_raw_rv,tsi_value [m/s]
11,24.2,1.543,1.32,0.3421
11,24.2,1.547,1.325,0.3421
11,24.2,1.543,1.33,0.3348
11,24.2,1.546,1.332,0.3446
11,24.2,1.547,1.344,0.3446
11,24.2,1.547,1.333,0.347
11,24.2,1.546,1.335,0.3495
11,24.2,1.543,1.341,0.3495
11,24.2,1.549,1.342,0.3519
11,24.2,1.542,1.334,0.3397
11,24.2,1.547,1.339,0.3324
11,24.2,1.535,1.341,0.3324
11,24.2,1.543,1.347,0.347
11,24.2,1.535,1.347,0.3543
11,24.2,1.546,1.351,0.3543
11,24.2,1.535,1.342,0.3617
11,24.2,1.535,1.35,0.3617
11,24.2,1.534,1.359,0.3617
11,24.2,1.545,1.356,0.369
11,24.2,1.546,1.345,0.3641
11,24.2,1.545,1.345,0.3641
11,24.2,1.549,1.344,0.3715
11,24.2,1.548,1.349,0.3739
11,24.2,1.545,1.36,0.3739
11,24.2,1.547,1.35,0.3739
11,24.2,1.546,1.357,0.3763
11,24.2,1.546,1.344,0.3763
11,24.2,1.545,1.344,0.3715
11,24.2,1.543,1.344,0.3861
11,24.2,1.543,1.347,0.3861
11,24.2,1.546,1.349,0.4081
11,24.2,1.543,1.347,0.4203
11,24.2,1.543,1.346,0.4277
11,24.2,1.546,1.349,0.4277
11,24.2,1.545,1.353,0.4301
11,24.2,1.546,1.341,0.4106
11,24.3,1.547,1.351,0.4106
11,24.3,1.545,1.347,0.4008
11,24.2,1.547,1.345,0.3959
11,24.2,1.543,1.346,0.3959
11,24.2,1.549,1.346,0.4008
11,24.2,1.547,1.34,0.4106
11,24.3,1.543,1.346,0.4106
11,24.3,1.548,1.351,0.4057
11,24.3,1.545,1.345,0.4106
11,24.3,1.545,1.35,0.4106
11,24.3,1.547,1.347,0.4057
11,24.3,1.55,1.35,0.3983
11,24.3,1.549,1.354,0.3983
11,24.3,1.551,1.361,0.3983
11,24.3,1.549,1.348,0.4008
11,24.3,1.55,1.347,0.4008
11,24.3,1.551,1.357,0.4057
11,24.3,1.547,1.353,0.4081
11,24.3,1.547,1.349,0.4081
11,24.3,1.551,1.347,0.4081
11,24.3,1.547,1.354,0.4081
11,24.3,1.547,1.354,0.413
11,24.3,1.545,1.357,0.413
11,24.3,1.542,1.354,0.4106
11,24.3,1.546,1.345,0.4081
11,24.3,1.547,1.344,0.4081
11,24.3,1.547,1.355,0.3983
11,24.3,1.548,1.348,0.4081
11,24.3,1.548,1.349,0.4081
11,24.3,1.546,1.359,0.4106
11,24.3,1.546,1.354,0.4057
11,24.3,1.547,1.351,0.4057
11,24.3,1.535,1.359,0.3837
11,24.3,1.551,1.359,0.391
11,24.3,1.543,1.373,0.391
11,24.3,1.549,1.379,0.4008
11,24.4,1.55,1.379,0.4252
11,24.4,1.545,1.377,0.4252
11,24.3,1.548,1.381,0.4179
11,24.3,1.552,1.383,0.4301
11,24.3,1.55,1.377,0.4423
11,24.3,1.552,1.376,0.4423
11,24.3,1.552,1.378,0.4472
11,24.3,1.549,1.367,0.4301
11,24.3,1.549,1.374,0.4301
11,24.3,1.551,1.374,0.4203
11,24.3,1.55,1.383,0.4081
11,24.3,1.545,1.386,0.4081
11,24.3,1.552,1.387,0.4106
11,24.3,1.551,1.374,0.4203
11,24.3,1.552,1.37,0.4203
11,24.3,1.552,1.375,0.4326
11,24.3,1.547,1.36,0.4497
11,24.3,1.552,1.373,0.4497
11,24.3,1.552,1.378,0.4692
11,24.3,1.552,1.375,0.4765
11,24.4,1.545,1.371,0.4765
11,24.4,1.552,1.381,0.479
11,24.4,1.545,1.386,0.4888
11,24.4,1.549,1.379,0.4888
11,24.4,1.552,1.383,0.4936
11,24.4,1.551,1.365,0.4961
11,24.4,1.552,1.371,0.5059
11,24.4,1.552,1.381,0.5059
11,24.4,1.554,1.372,0.4912
11,24.4,1.552,1.381,0.4985
11,24.4,1.552,1.374,0.4985
11,24.4,1.552,1.38,0.4961
11,24.4,1.552,1.382,0.5059
11,24.4,1.551,1.382,0.5059
11,24.4,1.552,1.381,0.5303
11,24.4,1.553,1.392,0.5132
11,24.4,1.552,1.393,0.5132
11,24.4,1.552,1.385,0.5132
11,24.4,1.551,1.388,0.523
11,24.4,1.552,1.389,0.523
11,24.4,1.552,1.392,0.545
11,24.4,1.552,1.386,0.5352
11,24.4,1.547,1.377,0.5376
11,24.4,1.551,1.381,0.5376
11,24.4,1.552,1.382,0.5401
11,24.4,1.547,1.366,0.5401
11,24.4,1.552,1.381,0.5279
11,24.4,1.552,1.378,0.523
11,24.4,1.551,1.382,0.5303
11,24.4,1.553,1.392,0.5303
11,24.4,1.552,1.392,0.5352
11,24.4,1.551,1.387,0.5205
11,24.4,1.541,1.387,0.5205
11,24.4,1.552,1.381,0.5254
11,24.4,1.551,1.387,0.5279
11,24.4,1.553,1.381,0.5279
11,24.4,1.552,1.367,0.5327
11,24.4,1.549,1.365,0.5327
11,24.4,1.551,1.365,0.5279
11,24.4,1.552,1.367,0.5279
11,24.4,1.545,1.375,0.5181
11,24.4,1.55,1.373,0.5181
11,24.4,1.549,1.38,0.5132
11,24.4,1.552,1.367,0.5156
11,24.4,1.55,1.375,0.5181
11,24.4,1.552,1.367,0.5181
11,24.4,1.535,1.363,0.5132
11,24.4,1.535,1.363,0.5132
11,24.4,1.551,1.363,0.5108
11,24.4,1.549,1.37,0.5059
11,24.4,1.551,1.373,0.5108
11,24.4,1.552,1.373,0.5108
11,24.4,1.552,1.389,0.5156
11,24.4,1.552,1.384,0.5156
11,24.4,1.55,1.387,0.545
11,24.4,1.554,1.386,0.5499
11,24.4,1.553,1.39,0.5645
11,24.4,1.551,1.395,0.5645
11,24.4,1.552,1.398,0.589
11,24.4,1.55,1.397,0.5938
11,24.4,1.554,1.403,0.6158
11,24.4,1.552,1.391,0.6158
11,24.4,1.554,1.394,0.6085
11,24.4,1.552,1.392,0.6085
11,24.4,1.552,1.392,0.5987
11,24.4,1.552,1.392,0.5938
11,24.4,1.553,1.393,0.5816
11,24.4,1.554,1.395,0.5816
11,24.4,1.552,1.393,0.5914
11,24.4,1.552,1.392,0.5914
11,24.4,1.552,1.402,0.5987
11,24.4,1.552,1.385,0.6012
11,24.5,1.552,1.391,0.589
11,24.5,1.552,1.392,0.589
11,24.4,1.551,1.394,0.5914
11,24.4,1.552,1.392,0.5914
11,24.5,1.552,1.394,0.5963
11,24.5,1.554,1.398,0.5963
11,24.5,1.552,1.399,0.589
11,24.5,1.552,1.392,0.589
11,24.4,1.552,1.397,0.5865
11,24.4,1.551,1.4,0.5816
11,24.5,1.553,1.397,0.5865
11,24.5,1.552,1.391,0.5865
11,24.4,1.552,1.392,0.5841
11,24.4,1.552,1.392,0.5841
11,24.5,1.553,1.392,0.5914
11,24.5,1.552,1.394,0.5938
11,24.5,1.553,1.405,0.5914
11,24.5,1.552,1.411,0.5914
11,24.5,1.552,1.399,0.5792
11,24.5,1.553,1.399,0.5767
11,24.5,1.551,1.398,0.5694
11,24.5,1.553,1.407,0.5694
11,24.5,1.554,1.406,0.5914
11,24.5,1.552,1.399,0.5914
11,24.5,1.553,1.395,0.6036
11,24.5,1.552,1.403,0.6061
11,24.4,1.552,1.406,0.589
11,24.4,1.553,1.397,0.589
11,24.5,1.554,1.399,0.589
11,24.5,1.553,1.408,0.589
11,24.5,1.55,1.399,0.5792
11,24.5,1.553,1.394,0.5767
11,24.5,1.547,1.405,0.5743
11,24.5,1.551,1.405,0.5743
11,24.5,1.553,1.399,0.567
11,24.5,1.552,1.408,0.567
11,24.5,1.553,1.408,0.5572
11,24.5,1.553,1.404,0.5596
11,24.5,1.552,1.41,0.5572
11,24.5,1.553,1.398,0.5572
11,24.5,1.552,1.401,0.5499
11,24.5,1.552,1.397,0.5474
11,24.5,1.552,1.395,0.5572
11,24.5,1.552,1.404,0.5572
11,24.5,1.552,1.409,0.5841
11,24.5,1.552,1.414,0.5841
11,24.5,1.553,1.419,0.6158
11,24.5,1.551,1.428,0.6158
11,24.5,1.553,1.414,0.6354
11,24.5,1.554,1.411,0.6354
11,24.5,1.553,1.407,0.6647
